sample_id,position,piece,position_role,word_index,word,start_sec,end_sec,n_positions,n_content_subwords,n_words,duration_sec,mapping_verified
01,0,[CLS],[CLS],,,,,50,22,21,9.0,1
01,1,replacing,content,0,Replacing,0.0,0.6825,50,22,21,9.0,1
01,2,these,content,1,these,0.6825,1.2125,50,22,21,9.0,1
01,3,wear,content,2,wear,1.2125,1.4525,50,22,21,9.0,1
01,4,components,content,3,components,1.4525,2.1975,50,22,21,9.0,1
01,5,when,content,4,when,2.1975,2.4375,50,22,21,9.0,1
01,6,replacing,content,5,replacing,2.4375,3.12,50,22,21,9.0,1
01,7,the,content,6,the,3.12,3.3325,50,22,21,9.0,1
01,8,timing,content,7,timing,3.3325,3.8075,50,22,21,9.0,1
01,9,belt,content,8,belt,3.8075,4.0525,50,22,21,9.0,1
01,10,is,content,9,is,4.0525,4.1775,50,22,21,9.0,1
01,11,essential,content,10,essential,4.1775,4.92,50,22,21,9.0,1
01,12,to,content,11,to,4.92,5.1,50,22,21,9.0,1
01,13,ensuring,content,12,ensuring,5.1,5.8575,50,22,21,9.0,1
01,14,the,content,13,the,5.8575,6.0375,50,22,21,9.0,1
01,15,new,content,14,new,6.0375,6.2125,50,22,21,9.0,1
01,16,belt,content,15,belt,6.2125,6.48,50,22,21,9.0,1
01,17,performs,content,16,performs,6.48,6.9225,50,22,21,9.0,1
01,18,to,content,17,to,6.9225,7.1675,50,22,21,9.0,1
01,19,its,content,18,its,7.1675,7.32,50,22,21,9.0,1
01,20,mile,content,19,mileage,7.32,8.0775,50,22,21,9.0,1
01,21,##age,content,19,mileage,7.32,8.0775,50,22,21,9.0,1
01,22,requirements,content,20,requirements,8.0775,9.0,50,22,21,9.0,1
01,23,[SEP],[SEP],,,,,50,22,21,9.0,1
01,24,[PAD],padding,,,,,50,22,21,9.0,1
01,25,[PAD],padding,,,,,50,22,21,9.0,1
01,26,[PAD],padding,,,,,50,22,21,9.0,1
01,27,[PAD],padding,,,,,50,22,21,9.0,1
01,28,[PAD],padding,,,,,50,22,21,9.0,1
01,29,[PAD],padding,,,,,50,22,21,9.0,1
01,30,[PAD],padding,,,,,50,22,21,9.0,1
01,31,[PAD],padding,,,,,50,22,21,9.0,1
01,32,[PAD],padding,,,,,50,22,21,9.0,1
01,33,[PAD],padding,,,,,50,22,21,9.0,1
01,34,[PAD],padding,,,,,50,22,21,9.0,1
01,35,[PAD],padding,,,,,50,22,21,9.0,1
01,36,[PAD],padding,,,,,50,22,21,9.0,1
01,37,[PAD],padding,,,,,50,22,21,9.0,1
01,38,[PAD],padding,,,,,50,22,21,9.0,1
01,39,[PAD],padding,,,,,50,22,21,9.0,1
01,40,[PAD],padding,,,,,50,22,21,9.0,1
01,41,[PAD],padding,,,,,50,22,21,9.0,1
01,42,[PAD],padding,,,,,50,22,21,9.0,1
01,43,[PAD],padding,,,,,50,22,21,9.0,1
01,44,[PAD],padding,,,,,50,22,21,9.0,1
01,45,[PAD],padding,,,,,50,22,21,9.0,1
01,46,[PAD],padding,,,,,50,22,21,9.0,1
01,47,[PAD],padding,,,,,50,22,21,9.0,1
01,48,[PAD],padding,,,,,50,22,21,9.0,1
01,49,[PAD],padding,,,,,50,22,21,9.0,1
02,0,[CLS],[CLS],,,,,50,19,14,3.493,1
02,1,we,content,0,We,0.0,0.1338,50,19,14,3.493,1
02,2,want,content,1,want,0.1338,0.3423,50,19,14,3.493,1
02,3,to,content,2,to,0.3423,0.4536,50,19,14,3.493,1
02,4,live,content,3,live,0.4536,0.7959,50,19,14,3.493,1
02,5,by,content,4,by,0.7959,0.9468,50,19,14,3.493,1
02,6,each,content,5,each,0.9468,1.1252,50,19,14,3.493,1
02,7,other,content,6,other’s,1.1252,1.497,50,19,14,3.493,1
02,8,’,content,6,other’s,1.1252,1.497,50,19,14,3.493,1
02,9,s,content,6,other’s,1.1252,1.497,50,19,14,3.493,1
02,10,happiness,content,7,happiness,1.497,1.9823,50,19,14,3.493,1
02,11,-,content,8,-,1.9823,2.1608,50,19,14,3.493,1
02,12,not,content,9,not,2.1608,2.2971,50,19,14,3.493,1
02,13,by,content,10,by,2.2971,2.4284,50,19,14,3.493,1
02,14,each,content,11,each,2.4284,2.6268,50,19,14,3.493,1
02,15,other,content,12,other’s,2.6268,2.9437,50,19,14,3.493,1
02,16,’,content,12,other’s,2.6268,2.9437,50,19,14,3.493,1
02,17,s,content,12,other’s,2.6268,2.9437,50,19,14,3.493,1
02,18,misery,content,13,misery.,2.9437,3.493,50,19,14,3.493,1
02,19,.,content,13,misery.,2.9437,3.493,50,19,14,3.493,1
02,20,[SEP],[SEP],,,,,50,19,14,3.493,1
02,21,[PAD],padding,,,,,50,19,14,3.493,1
02,22,[PAD],padding,,,,,50,19,14,3.493,1
02,23,[PAD],padding,,,,,50,19,14,3.493,1
02,24,[PAD],padding,,,,,50,19,14,3.493,1
02,25,[PAD],padding,,,,,50,19,14,3.493,1
02,26,[PAD],padding,,,,,50,19,14,3.493,1
02,27,[PAD],padding,,,,,50,19,14,3.493,1
02,28,[PAD],padding,,,,,50,19,14,3.493,1
02,29,[PAD],padding,,,,,50,19,14,3.493,1
02,30,[PAD],padding,,,,,50,19,14,3.493,1
02,31,[PAD],padding,,,,,50,19,14,3.493,1
02,32,[PAD],padding,,,,,50,19,14,3.493,1
02,33,[PAD],padding,,,,,50,19,14,3.493,1
02,34,[PAD],padding,,,,,50,19,14,3.493,1
02,35,[PAD],padding,,,,,50,19,14,3.493,1
02,36,[PAD],padding,,,,,50,19,14,3.493,1
02,37,[PAD],padding,,,,,50,19,14,3.493,1
02,38,[PAD],padding,,,,,50,19,14,3.493,1
02,39,[PAD],padding,,,,,50,19,14,3.493,1
02,40,[PAD],padding,,,,,50,19,14,3.493,1
02,41,[PAD],padding,,,,,50,19,14,3.493,1
02,42,[PAD],padding,,,,,50,19,14,3.493,1
02,43,[PAD],padding,,,,,50,19,14,3.493,1
02,44,[PAD],padding,,,,,50,19,14,3.493,1
02,45,[PAD],padding,,,,,50,19,14,3.493,1
02,46,[PAD],padding,,,,,50,19,14,3.493,1
02,47,[PAD],padding,,,,,50,19,14,3.493,1
02,48,[PAD],padding,,,,,50,19,14,3.493,1
02,49,[PAD],padding,,,,,50,19,14,3.493,1
03,0,[CLS],[CLS],,,,,50,33,25,9.664,1
03,1,there,content,0,There's,0.0,0.5019,50,33,25,9.664,1
03,2,',content,0,There's,0.0,0.5019,50,33,25,9.664,1
03,3,s,content,0,There's,0.0,0.5019,50,33,25,9.664,1
03,4,one,content,1,one,0.5019,0.9976,50,33,25,9.664,1
03,5,lend,content,2,lender,0.9976,1.4964,50,33,25,9.664,1
03,6,##er,content,2,lender,0.9976,1.4964,50,33,25,9.664,1
03,7,at,content,3,at,1.4964,1.6592,50,33,25,9.664,1
03,8,the,content,4,the,1.6592,1.8705,50,33,25,9.664,1
03,9,moment,content,5,moment,1.8705,2.3971,50,33,25,9.664,1
03,10,which,content,6,which,2.3971,2.6518,50,33,25,9.664,1
03,11,i,content,7,I,2.6518,2.8453,50,33,25,9.664,1
03,12,think,content,8,think,2.8453,3.02,50,33,25,9.664,1
03,13,is,content,9,is,3.02,3.2786,50,33,25,9.664,1
03,14,just,content,10,just,3.2786,3.4915,50,33,25,9.664,1
03,15,bank,content,11,Bankwest,3.4915,4.0226,50,33,25,9.664,1
03,16,##west,content,11,Bankwest,3.4915,4.0226,50,33,25,9.664,1
03,17,who,content,12,who,4.0226,4.2397,50,33,25,9.664,1
03,18,don,content,13,don't,4.2397,4.497,50,33,25,9.664,1
03,19,',content,13,don't,4.2397,4.497,50,33,25,9.664,1
03,20,t,content,13,don't,4.2397,4.497,50,33,25,9.664,1
03,21,take,content,14,take,4.497,5.0164,50,33,25,9.664,1
03,22,rental,content,15,rental,5.0164,5.5258,50,33,25,9.664,1
03,23,income,content,16,income,5.5258,6.2549,50,33,25,9.664,1
03,24,into,content,17,into,6.2549,6.7643,50,33,25,9.664,1
03,25,account,content,18,"account,",6.7643,7.2437,50,33,25,9.664,1
03,26,",",content,18,"account,",6.7643,7.2437,50,33,25,9.664,1
03,27,they,content,19,they,7.2437,7.4372,50,33,25,9.664,1
03,28,take,content,20,take,7.4372,7.9316,50,33,25,9.664,1
03,29,rental,content,21,rental,7.9316,8.416,50,33,25,9.664,1
03,30,yield,content,22,yield,8.416,8.7057,50,33,25,9.664,1
03,31,into,content,23,into,8.7057,9.2051,50,33,25,9.664,1
03,32,account,content,24,account.,9.2051,9.664,50,33,25,9.664,1
03,33,.,content,24,account.,9.2051,9.664,50,33,25,9.664,1
